,product_name,cost
0,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,499"
1,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,499"
2,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,499"
3,"realme C31 (Light Silver, 32 GB)","₹9,299"
4,"POCO C31 (Royal Blue, 64 GB)","₹9,999"
5,"realme C31 (Dark Green, 32 GB)","₹9,299"
6,"realme C31 (Dark Green, 64 GB)","₹9,999"
7,"realme C31 (Light Silver, 64 GB)","₹9,999"
8,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
9,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
10,"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,499"
11,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999"
12,"POCO C31 (Royal Blue, 32 GB)","₹8,999"
13,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999"
14,"REDMI Note 10T 5G (Mint Green, 64 GB)","₹11,999"
15,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹11,999"
16,"POCO C31 (Shadow Gray, 64 GB)","₹10,009"
17,"REDMI Note 10T 5G (Graphite Black, 64 GB)","₹11,999"
18,"MOTOROLA G60 (Moonless, 128 GB)","₹15,999"
19,"REDMI 10 (Midnight Black, 64 GB)","₹10,499"
20,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799"
21,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799"
22,"realme 9 (Sunburst Gold, 128 GB)","₹18,999"
23,"REDMI Note 10T 5G (Mint Green, 128 GB)","₹13,999"
